"filename", "language", "TypeScript", "comment", "blank", "total"
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/controllers/api.test.ts", "TypeScript", 273, 0, 56, 329
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/controllers/api.ts", "TypeScript", 87, 0, 10, 97
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/controllers/auth.test.ts", "TypeScript", 122, 0, 28, 150
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/controllers/auth.ts", "TypeScript", 64, 0, 13, 77
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/db/db.ts", "TypeScript", 86, 0, 16, 102
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/db/db.ts", "TypeScript", 14, 0, 2, 16
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/entities/number/fieldsToUpdate.ts", "TypeScript", 4, 0, 1, 5
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/entities/number/number.ts", "TypeScript", 7, 0, 1, 8
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/entities/user.ts", "TypeScript", 9, 0, 2, 11
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/messages/errorMessages.ts", "TypeScript", 4, 0, 1, 5
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/messages/successMessage.ts", "TypeScript", 3, 0, 0, 3
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/services/numberService.ts", "TypeScript", 11, 0, 2, 13
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/interfaces/services/userService.ts", "TypeScript", 6, 0, 2, 8
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/main.ts", "TypeScript", 28, 0, 8, 36
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/checkForDuplicateId.test.ts", "TypeScript", 51, 0, 10, 61
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/checkForDuplicateId.ts", "TypeScript", 19, 1, 3, 23
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/checkForDuplicateValue.test.ts", "TypeScript", 51, 0, 10, 61
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/checkForDuplicateValue.ts", "TypeScript", 19, 0, 4, 23
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/isNumberExists.ts", "TypeScript", 19, 0, 4, 23
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/validateNumberFields.ts", "TypeScript", 42, 0, 8, 50
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/number/validateUpdatingFieldsNumber.ts", "TypeScript", 54, 0, 7, 61
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/user/authCheck.test.ts", "TypeScript", 38, 0, 7, 45
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/user/authCheck.ts", "TypeScript", 27, 0, 5, 32
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/user/checkForDuplicateUsername.test.ts", "TypeScript", 46, 0, 9, 55
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/user/checkForDuplicateUsername.ts", "TypeScript", 19, 0, 4, 23
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/user/validateAuthFields.test.ts", "TypeScript", 87, 0, 13, 100
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/middlewares/user/validateAuthFields.ts", "TypeScript", 42, 0, 8, 50
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/server.ts", "TypeScript", 4, 0, 1, 5
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/services/numberService.test.ts", "TypeScript", 123, 0, 24, 147
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/services/numberService.ts", "TypeScript", 38, 0, 9, 47
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/services/userService.test.ts", "TypeScript", 71, 0, 10, 81
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/services/userService.ts", "TypeScript", 18, 0, 4, 22
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/shared/responseMessages/errorMessages.ts", "TypeScript", 114, 0, 28, 142
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/shared/responseMessages/successMessages.ts", "TypeScript", 14, 0, 5, 19
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/utils/isNumber.test.ts", "TypeScript", 15, 0, 5, 20
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/utils/isNumber.ts", "TypeScript", 3, 0, 1, 4
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/utils/isPhoneNumber.test.ts", "TypeScript", 11, 0, 3, 14
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/utils/isPhoneNumber.ts", "TypeScript", 4, 0, 1, 5
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/utils/paginateItems.test.ts", "TypeScript", 71, 0, 8, 79
"/home/saidazizkhon/Documents/Coding/Node/Numbers/src/utils/paginateItems.ts", "TypeScript", 21, 0, 6, 27
"Total", "-", 1739, 1, 339, 2079
